f1|accuracy|precision|recall|dataset
0.8075010654922574|0.8075010654922574|0.8075010817897647|0.8075010817897647|Validação Cruzada
0.7982031618575635|0.7982667992612587|0.7986379854147234|0.7982642925417862|Validação Cruzada
0.8137815344494135|0.813894019036795|0.8146463934488317|0.8138905438657676|Validação Cruzada
0.824230462643667|0.8244068759767013|0.8257041166134705|0.824402391885608|Validação Cruzada
0.8334442772758375|0.8336411422076999|0.8352375642780859|0.8336460432328399|Validação Cruzada
0.8252793386777291|0.8254013354169626|0.8263214071002352|0.8254051060476891|Validação Cruzada
0.8277050328503328|0.8278164512004547|0.8286750100771693|0.8278200806014104|Validação Cruzada
0.8280480781142167|0.8281005824691007|0.8285075739425725|0.8281030816476789|Validação Cruzada
0.8242021887478777|0.8242398408638818|0.824517859890831|0.8242398408638818|Validação Cruzada
0.8231001508238927|0.8231031543052003|0.8231250989297816|0.8231031543052003|Validação Cruzada
0.7526579712976693|0.8021978021978022|0.7347543773230039|0.8032862249071198|Teste
0.745286300135539|0.7938674228996809|0.7285675987323965|0.799966065285908|Teste
0.745566040713914|0.7939560439560439|0.728853617566399|0.8006004203422603|Teste
0.748553228126771|0.7970577809287487|0.7313724064645521|0.8025892827129844|Teste
0.7446666799833208|0.7943991492378589|0.7277804933102318|0.7969862132220531|Teste
0.7498653668866435|0.7996277915632755|0.7322814340996726|0.8007720147455937|Teste
0.7527303051700913|0.8020205600850762|0.7348486886072643|0.8038944886502788|Teste
0.7557182360971129|0.8075150655795817|0.7374125837865371|0.8004872512721516|Teste
0.7570276401419728|0.8100850762141085|0.7387367103315452|0.7986699833047609|Teste
0.7557798131133155|0.8100850762141085|0.7377524506369748|0.7952048008016276|Teste
