f1|accuracy|precision|recall|dataset
0.7502363450422913|0.7546526495240802|0.7740771207404302|0.7546715557105583|Validação Cruzada
0.7316584966167979|0.7388833641142207|0.7677695286697974|0.738906689981658|Validação Cruzada
0.7862699407756816|0.7887484017616139|0.8028289324744458|0.7887637161254488|Validação Cruzada
0.9398910188249405|0.9399062366813468|0.940345945128219|0.939903995194916|Validação Cruzada
0.9207545676415635|0.9208694416820571|0.9233387127736181|0.9208748692164612|Validação Cruzada
0.918512087056273|0.9187384571672113|0.9234641111325552|0.9187459634710274|Validação Cruzada
0.9268134864742885|0.9268361983236255|0.9273735023901941|0.9268387196775943|Validação Cruzada
0.9149037157457113|0.9151868163091348|0.9208086510171549|0.9151950289338397|Validação Cruzada
0.9005226530509296|0.9011082693947144|0.9107812336019543|0.9011082693947144|Validação Cruzada
0.9307740058513283|0.9308042057402671|0.9315572744057639|0.9308042057402671|Validação Cruzada
0.7512703666832559|0.8274548032612549|0.7488824214829107|0.7537871621134924|Teste
0.7450498262958138|0.8308224034030486|0.7546394695390795|0.7370323772387707|Teste
0.7528577099402202|0.8309996455157745|0.7540136934083166|0.7517286695511174|Teste
0.7392862858692129|0.8327720666430344|0.760185053499959|0.7245661718921325|Teste
0.7594207310853289|0.8314427507975896|0.7546518843592409|0.7647184619250906|Teste
0.7545415934487922|0.8237327188940092|0.7450207994686522|0.7667050833241293|Teste
0.7521357765300324|0.8385324353066289|0.7682529397268828|0.7398103817815405|Teste
0.7649676918154384|0.8289613612194258|0.7527577867105926|0.7817527279828533|Teste
0.7519243460681362|0.8115916341722793|0.7355256762891044|0.7820213244462799|Teste
0.7426714093444495|0.8321517192484934|0.7577693998746631|0.7310987644242544|Teste
