f1|accuracy|precision|recall|dataset
0.8027221153395718|0.8028128995595966|0.803378101198907|0.8028159633418586|Validação Cruzada
0.7901331197651267|0.7903111237391675|0.7912904433028272|0.7903070022475394|Validação Cruzada
0.8038027814956759|0.8038073589998579|0.8038342102275856|0.803806689012891|Validação Cruzada
0.8119295883830344|0.8120471657905952|0.812821461175389|0.812043630034359|Validação Cruzada
0.8314785031531052|0.8316522233271771|0.8330361171564072|0.8316568013898576|Validação Cruzada
0.8312451383691856|0.831368092058531|0.8323456207355275|0.831371943540262|Validação Cruzada
0.8186624760755943|0.818866316238102|0.8203174646426212|0.8188710958691777|Validação Cruzada
0.8184971280487706|0.818724250603779|0.8203391501408155|0.8187292926063706|Validação Cruzada
0.8267495063333814|0.826797385620915|0.8271590386551883|0.826797385620915|Validação Cruzada
0.8138667742160138|0.8140096618357487|0.8149768463166981|0.8140096618357489|Validação Cruzada
0.7479687486887708|0.8006912442396313|0.7303819709328553|0.7930797193663173|Teste
0.7353172405089907|0.7817263381779511|0.7210448927844584|0.7969457156623112|Teste
0.7488342391123588|0.7995391705069125|0.7312640883809247|0.797971920624783|Teste
0.7441564919215937|0.7925381070542361|0.7276615395994892|0.7995468435113465|Teste
0.7469793873323267|0.7957284650833037|0.7299715086210332|0.800870617499748|Teste
0.7477808383215516|0.7959057071960298|0.7308021558487365|0.8028612406339388|Teste
0.7459049700359653|0.7959943282523928|0.7287855667304199|0.7971427611012134|Teste
0.7421489737423815|0.7912087912087912|0.7257814978121448|0.796528734859435|Teste
0.7508114540164412|0.8028181495923431|0.7329553422106769|0.7966092497707006|Teste
0.7476739061113153|0.7970577809287487|0.7304394363887448|0.7999903958356342|Teste
