f1|accuracy|precision|recall|dataset
0.7683210770371169|0.8494683207797962|0.7865371426880359|0.7544974772814623|Validação Cruzada
0.7681409681363414|0.8505594328126731|0.789570467106699|0.7524974315255645|Validação Cruzada
0.7707974590640094|0.8516672205605406|0.7906277000961386|0.7559941621600608|Validação Cruzada
0.7712484915992197|0.8601971862191204|0.8183321741122183|0.7443184465508779|Validação Cruzada
0.7664647772235906|0.8590893984712529|0.8201000130712135|0.7376524025528366|Validação Cruzada
0.7639051698162045|0.8489897199574619|0.7879901170566109|0.74694883701573|Teste
0.7595268553262218|0.8464197093229351|0.783856039898336|0.7425576529983401|Teste
0.7562912755237181|0.8439383197447714|0.7792499004258708|0.7401002674759776|Teste
0.7648704396489752|0.858826657213754|0.8211585944421437|0.7353529290300274|Teste
0.7654445271200206|0.859092520382843|0.8215038104220395|0.7359565507604098|Teste
