f1|accuracy|precision|recall|dataset
0.8389563100947847|0.8389686034948146|0.8390721368756024|0.8389686034948146|Validação Cruzada
0.8637440392480158|0.8639011223185111|0.8655869943283767|0.8639011223185111|Validação Cruzada
0.8805048800036185|0.8807358999857935|0.883703154073398|0.8807358999857935|Validação Cruzada
0.8793292994050355|0.8796618597712581|0.8838842455674139|0.8796581349369996|Validação Cruzada
0.8779638801663542|0.8783121403708176|0.8826901521628948|0.8783159396793919|Validação Cruzada
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
