f1|accuracy|precision|recall|dataset
0.797908322215247|0.797911635175451|0.7979311715388613|0.797911635175451|Validação Cruzada
0.8204840487495748|0.8205000710328172|0.8206145338833373|0.8205000710328172|Validação Cruzada
0.820867495615484|0.8209262679357864|0.8213479974817761|0.8209262679357863|Validação Cruzada
0.8163761319373479|0.8170775023087306|0.8219869109116978|0.8170731160831257|Validação Cruzada
0.820367015656573|0.8206293954677844|0.8225199642643222|0.820632114560371|Validação Cruzada
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.18047788510421964|0.22022332506203474|0.11011166253101737|0.5|Teste
0.18047788510421964|0.22022332506203474|0.11011166253101737|0.5|Teste
0.18047788510421964|0.22022332506203474|0.11011166253101737|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
