f1|accuracy|precision|recall|dataset
0.810767826517375|0.8107685750816878|0.8107734925107177|0.8107685750816878|Validação Cruzada
0.8174305672246115|0.8174456598948714|0.8175506651502872|0.8174456598948714|Validação Cruzada
0.8202090734391982|0.8202159397641711|0.8202648642049553|0.8202159397641711|Validação Cruzada
0.8232224688981042|0.8232577964054841|0.8235141031266389|0.823256796330726|Validação Cruzada
0.8176198289937595|0.8176458052141792|0.8178288070651027|0.8176466571318382|Validação Cruzada
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
