f1|accuracy|precision|recall|dataset
0.7620330733130392|0.8526805494018609|0.8010687354754382|0.7385224502629214|Validação Cruzada
0.7611221472852374|0.8547690262545696|0.8096716789296294|0.7342776575513148|Validação Cruzada
0.7601911897759508|0.8518887781101141|0.8000112425869192|0.7364643179434613|Validação Cruzada
0.7597337985072575|0.8523318932092611|0.8020066510502528|0.7351241630776275|Validação Cruzada
0.762105044773274|0.8542151323806358|0.8062762672791883|0.7366926734437025|Validação Cruzada
0.7547978390429775|0.8490783410138248|0.7955818969805749|0.7309791925779018|Teste
0.761608991422656|0.8551931939028713|0.8105152992371037|0.7346113274715916|Teste
0.7610635535210434|0.8540411201701524|0.8067703361841854|0.7351720506011407|Teste
0.7613537009970348|0.8542183622828784|0.8071069260432973|0.735430082483765|Teste
0.7617770994614749|0.8546614675646934|0.8082896756930262|0.7355698230752854|Teste
