f1|accuracy|precision|recall|dataset
0.7797250480305014|0.8603234381922906|0.8092284856372436|0.7596551954916696|Validação Cruzada
0.7708865273266488|0.8566522654259444|0.8058472780185366|0.7486501847115659|Validação Cruzada
0.7755925514476822|0.858203168272959|0.806182972523076|0.755131763731987|Validação Cruzada
0.7703330048458965|0.8537720172814889|0.796960875006802|0.7519294985711971|Validação Cruzada
0.7718041907838651|0.8567630442007311|0.8051234553486222|0.7502378598912698|Validação Cruzada
0.7718413449144795|0.8557249202410493|0.8016895799629857|0.751845040009348|Teste
0.7698432848642105|0.8559021623537753|0.8041620200520533|0.7479159763673529|Teste
0.7670904887714662|0.8537752570010635|0.7997699206343234|0.745974654610239|Teste
0.7697418874892152|0.8539524991137895|0.7979946995625575|0.75056416462178|Teste
0.7676823600370115|0.8549273307337824|0.8030052626823869|0.74541393148069|Teste
