f1|accuracy|precision|recall|dataset
0.732704130852831|0.7978511298183429|0.7180975934733241|0.7592696397882629|Validação Cruzada
0.7280304731449722|0.7931760274731362|0.7134127212960062|0.7559129560408333|Validação Cruzada
0.731015709181648|0.7973856209150327|0.7168092750587205|0.7562004717608106|Validação Cruzada
0.7234752087051911|0.7897418854547469|0.709188691519414|0.7509382549023362|Validação Cruzada
0.7276764360387735|0.7912927883017614|0.7126367938949624|0.7582493826433526|Validação Cruzada
0.7350257423016947|0.7989188231123715|0.7199760309381251|0.7630667057236018|Teste
0.734964937768964|0.7989188231123715|0.7199355388817272|0.7629223231193045|Teste
0.7358552893483195|0.7998936547323644|0.7208632385604106|0.7634030115458063|Teste
0.7352167953505964|0.7987415809996455|0.7200453140582525|0.763819352071058|Teste
0.7352942490672453|0.7990074441687345|0.7201852110321958|0.763556678175657|Teste
