f1|accuracy|precision|recall|dataset
0.6009115721267067|0.6449779798266799|0.7596638889970325|0.6449779798266799|Validação Cruzada
0.8718876987462607|0.8722829947435715|0.8769351935345263|0.8722829947435715|Validação Cruzada
0.9416303520323103|0.941682057110385|0.9432526276048185|0.941682057110385|Validação Cruzada
0.9426095530191141|0.942672444412872|0.9446148422651689|0.9426700975577913|Validação Cruzada
0.9408593776956744|0.9409675356965262|0.9442256247555283|0.9409705783645788|Validação Cruzada
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.18047788510421964|0.22022332506203474|0.11011166253101737|0.5|Teste
0.18047788510421964|0.22022332506203474|0.11011166253101737|0.5|Teste
0.18047788510421964|0.22022332506203474|0.11011166253101737|0.5|Teste
0.18047788510421964|0.22022332506203474|0.11011166253101737|0.5|Teste
