f1|accuracy|precision|recall|dataset
0.7686012676621088|0.8572219760744351|0.8102673441722592|0.7437793429996533|Validação Cruzada
0.7624124397751391|0.8553229201285034|0.8102900350775171|0.7357149102673399|Validação Cruzada
0.7561688688814114|0.8527750083084081|0.8075222493055949|0.7287306735711898|Validação Cruzada
0.759172777842714|0.8535504597319153|0.807055869074705|0.7326569517974447|Validação Cruzada
0.7568410621398212|0.8512241054613936|0.8010306397375169|0.7317066913485459|Validação Cruzada
0.7650915638994622|0.8551045728465083|0.8062679802405088|0.7406185722129115|Teste
0.7649786261924514|0.8553704360155973|0.8073498132167074|0.740067133108916|Teste
0.7610094048484515|0.8558135412974123|0.8136996551499772|0.7328433608812781|Teste
0.7604357246761628|0.8555476781283233|0.8133441688564482|0.7322397391508959|Teste
0.7644595974584592|0.8566111308046792|0.8126195990782192|0.7375418781583695|Teste
