f1|accuracy|precision|recall|dataset
0.7752526948366951|0.861541869738591|0.8187092143371145|0.7494352194635491|Validação Cruzada
0.7758141513383712|0.8625235404896422|0.8219357712139057|0.7489890047434804|Validação Cruzada
0.7712484915992197|0.8601971862191204|0.8183321741122183|0.7443184465508779|Validação Cruzada
0.7669132745999993|0.8552121413537166|0.8047533588517157|0.743648637098911|Validação Cruzada
0.774799056957254|0.8609726376426277|0.8169117366749991|0.7495080584372837|Validação Cruzada
0.7712364873702939|0.8596242467210209|0.8160788854967189|0.7451048374575215|Teste
0.7717566225389458|0.8604218362282878|0.8185679419598844|0.7448943461885074|Teste
0.7693446251419453|0.8597128677773839|0.818836405529954|0.7416964795935518|Teste
0.7674279804932607|0.857851825593761|0.8138535808505937|0.7409363099840091|Teste
0.7668004620211986|0.8576745834810351|0.8139270764100233|0.7401007476841959|Teste
