f1|accuracy|precision|recall|dataset
0.7121527004896739|0.775254762959681|0.6979399512294249|0.7471234923204204|Validação Cruzada
0.7105155723224263|0.7739005206602415|0.6964505780403356|0.7453548866592346|Validação Cruzada
0.7116260830072222|0.7773346626786308|0.6976439155572076|0.7428021031430807|Validação Cruzada
0.7022741800687045|0.767032236623463|0.6889338811103503|0.7367374798585518|Validação Cruzada
0.7059319735241253|0.7691370333444112|0.6922630323454617|0.7420575806022383|Validação Cruzada
0.7141349196211119|0.7779156327543424|0.6997981758549862|0.7477222923859785|Teste
0.7143231356252762|0.7781814959234314|0.6999796961660455|0.747748383699172|Teste
0.7140948680548608|0.7780042538107054|0.699771415745734|0.7474903518165477|Teste
0.7146129915139048|0.7783587380361574|0.7002401503801797|0.7481507981860935|Teste
0.7143014764885252|0.7780928748670685|0.6999539767833849|0.7478359416643057|Teste
