f1|accuracy|precision|recall|dataset
0.7552538210995083|0.7566004526024642|0.7623359299085019|0.7565818490632078|Validação Cruzada
0.7563900597601866|0.757606235856173|0.7628181177318155|0.7575885175305225|Validação Cruzada
0.7543684005050844|0.7555946693487553|0.7608397915811804|0.7556124833465347|Validação Cruzada
0.7526776642531433|0.7538345486547648|0.7587102010476624|0.7538517935162509|Validação Cruzada
0.7633061768687035|0.7640845070422535|0.7676044059730883|0.7640845070422535|Validação Cruzada
0.18047788510421964|0.22022332506203474|0.11011166253101737|0.5|Teste
0.18047788510421964|0.22022332506203474|0.11011166253101737|0.5|Teste
0.18047788510421964|0.22022332506203474|0.11011166253101737|0.5|Teste
0.18047788510421964|0.22022332506203474|0.11011166253101737|0.5|Teste
0.18047788510421964|0.22022332506203474|0.11011166253101737|0.5|Teste
