f1|accuracy|precision|recall|dataset
0.6987760076674774|0.8217766947275144|0.7497838147261755|0.6757810449302389|Validação Cruzada
0.698279189623384|0.8214246150437576|0.7490510633325069|0.6753830852296325|Validação Cruzada
0.703237577483355|0.8226431815664119|0.749924223590465|0.6808945018312746|Validação Cruzada
0.697077792939204|0.8194305970975961|0.7437889430748811|0.6752250253903018|Validação Cruzada
0.7101849252416559|0.8249695358369337|0.7530671653815035|0.6883419068180928|Validação Cruzada
0.7055253490947647|0.8243530662885502|0.753651269880297|0.6826390322843985|Teste
0.7073929896922593|0.8249734136830911|0.7544681882695496|0.6846250134058127|Teste
0.7055434842383742|0.8242644452321871|0.7533856964377446|0.6827265902495322|Teste
0.70833021373692|0.8252392768521801|0.7547434596961156|0.6856617829490868|Teste
0.7081276422965994|0.825150655795817|0.7545947958377752|0.685460575705626|Teste
