f1|accuracy|precision|recall|dataset
0.7057736342062327|0.8339610101905184|0.78768360081269|0.6763806633315169|Validação Cruzada
0.7022468097407646|0.832391713747646|0.7848042457179301|0.6732190088967582|Validação Cruzada
0.7051999068922256|0.8332779439459399|0.7851697765117678|0.676163173100258|Validação Cruzada
0.6997519076355727|0.8300653594771242|0.7773781826239293|0.6717570303194362|Validação Cruzada
0.7067423539715342|0.8331671651711532|0.7831264173752597|0.6780773788919052|Validação Cruzada
0.7023448672502751|0.8309110244594116|0.7782998175064009|0.6742827690086421|Teste
0.7036973944358141|0.8312655086848635|0.7784317030145729|0.6756651283996741|Teste
0.7025887448413415|0.8309110244594116|0.7780693413245106|0.6745715342172366|Teste
0.7023160264713917|0.8302020560085076|0.7755372323378064|0.6746944675211172|Teste
0.7032649363643564|0.8310882665721375|0.7781364612974894|0.6752627139127525|Teste
