f1|accuracy|precision|recall|dataset
0.7504086753849941|0.7608325046171331|0.8131446873584336|0.7608325046171331|Validação Cruzada
0.8994019857083277|0.899488563716437|0.9008685671808985|0.8994885637164369|Validação Cruzada
0.9468582571076104|0.9469384855803381|0.9496538683396905|0.9469384855803381|Validação Cruzada
0.943918575786079|0.9440221638133125|0.9473186225977712|0.9440191155184966|Validação Cruzada
0.9437161202396476|0.9438090502237693|0.9467677222350983|0.9438119415148202|Validação Cruzada
0.44304992565301893|0.7803970223325062|0.7431959026621211|0.5021303637257114|Teste
0.4453767191351846|0.7803970223325062|0.7007490923574198|0.5029966593514948|Teste
0.4397688529830566|0.7799539170506913|0.72334042678962|0.500691179695516|Teste
0.4537200098079743|0.7813718539524991|0.7160370634354953|0.5066537650725355|Teste
0.44376758083007756|0.7802197802197802|0.6946328807002236|0.5023054796559788|Teste
