f1|accuracy|precision|recall|dataset
0.6369778796507423|0.6677084813183691|0.7535691840524523|0.6677084813183691|Validação Cruzada
0.8464557338737209|0.8471373774683904|0.8534131390738046|0.8471373774683904|Validação Cruzada
0.9334523122461618|0.9335843159539707|0.9370520542701454|0.9335843159539707|Validação Cruzada
0.9305256773931934|0.9306670455352704|0.9341923031618857|0.9306638457817185|Validação Cruzada
0.9287344428470121|0.9288910989557434|0.9327048904267337|0.9288944342527794|Validação Cruzada
0.18250293784197408|0.2216412619638426|0.6102680156194533|0.5009091942266166|Teste
0.625004733431611|0.8055654023395958|0.7351598036464375|0.6074970107038411|Teste
0.625004733431611|0.8055654023395958|0.7351598036464375|0.6074970107038411|Teste
0.625004733431611|0.8055654023395958|0.7351598036464375|0.6074970107038411|Teste
0.625004733431611|0.8055654023395958|0.7351598036464375|0.6074970107038411|Teste
