f1|accuracy|precision|recall|dataset
0.70500487560556|0.8248781568453699|0.7556401820885148|0.681557309341169|Validação Cruzada
0.7032806584694509|0.8230862966655589|0.7513529595991231|0.6805965418497387|Validação Cruzada
0.7073980182562756|0.8260773235848011|0.75772353324857|0.6838184241119397|Validação Cruzada
0.6937733597763663|0.816771906502714|0.7379871112160057|0.6727983328297673|Validação Cruzada
0.7106933861672752|0.8276282264318157|0.7604743606335427|0.6869785983981742|Validação Cruzada
0.7045774357770282|0.8240872031194612|0.7533746041607059|0.6816022627411246|Teste
0.7052265972254161|0.8252392768521801|0.756432501857285|0.6816190700287644|Teste
0.7030091966052556|0.8235554767812833|0.7526435717431754|0.6799618714674682|Teste
0.7037381469331263|0.8238213399503722|0.753039028371608|0.6807098758021478|Teste
0.7053958630313311|0.8249734136830911|0.7555415232222632|0.6820261265284627|Teste
