f1|accuracy|precision|recall|dataset
0.7337425482149036|0.7381730359426055|0.7551560859954337|0.7381730359426055|Validação Cruzada
0.79461446318216|0.7948572240375054|0.7962579034261876|0.7948572240375054|Validação Cruzada
0.8114574985180221|0.8114789032533031|0.8116204130433382|0.811478903253303|Validação Cruzada
0.8120337903091606|0.8120338140228742|0.8120339188601027|0.8120337928888136|Validação Cruzada
0.8109672692502086|0.810968246075158|0.8109743156419253|0.8109680886835134|Validação Cruzada
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
0.4381317532241199|0.7797766749379652|0.3898883374689826|0.5|Teste
